,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
150,300750.SZ,20230907,233.0,233.75,226.51,226.51,234.42,-7.91,-3.3743,192660.9,4405103.044
151,600519.SH,20230907,1852.6,1856.89,1831.19,1838.0,1861.0,-23.0,-1.2359,16981.57,3128587.116
152,300750.SZ,20230906,236.05,237.17,232.8,234.42,236.82,-2.4,-1.0134,124747.83,2921536.582
153,600519.SH,20230906,1858.0,1866.66,1849.01,1861.0,1858.7,2.3,0.1237,11121.43,2067605.99
154,300750.SZ,20230905,237.0,239.5,236.16,236.82,237.65,-0.83,-0.3493,115816.65,2752197.345
155,600519.SH,20230905,1868.0,1868.0,1856.8,1858.7,1866.0,-7.3,-0.3912,15658.74,2915625.961
156,300750.SZ,20230904,238.21,238.76,233.4,237.65,236.4,1.25,0.5288,140523.87,3327817.522
157,600519.SH,20230904,1862.6,1879.94,1853.53,1866.0,1851.05,14.95,0.8076,23871.0,4453823.216
158,300750.SZ,20230901,236.6,239.51,234.6,236.4,236.55,-0.15,-0.0634,91011.32,2157778.481
159,600519.SH,20230901,1852.83,1865.47,1846.03,1851.05,1847.0,4.05,0.2193,13145.19,2438622.738
160,300750.SZ,20230831,237.1,238.5,236.13,236.55,237.5,-0.95,-0.4,96715.27,2294576.162
161,600519.SH,20230831,1860.0,1860.0,1841.01,1847.0,1856.0,-9.0,-0.4849,14820.22,2738445.519
162,300750.SZ,20230830,239.4,242.0,237.5,237.5,238.5,-1.0,-0.4193,145916.37,3492477.898
163,600519.SH,20230830,1867.9,1868.0,1843.66,1856.0,1851.33,4.67,0.2523,19811.81,3672570.26
164,300750.SZ,20230829,231.2,243.0,230.92,238.5,230.5,8.0,3.4707,291749.95,6966379.986
165,600519.SH,20230829,1828.0,1869.08,1828.0,1851.33,1834.97,16.36,0.8916,28950.28,5371260.173
166,300750.SZ,20230828,241.5,243.96,229.5,230.5,228.34,2.16,0.946,223115.15,5230083.38
167,600519.SH,20230828,1898.58,1898.58,1831.88,1834.97,1824.98,9.99,0.5474,41052.13,7633221.012
168,300750.SZ,20230825,227.93,229.97,225.81,228.34,228.95,-0.61,-0.2664,111851.29,2549494.197
169,600519.SH,20230825,1808.79,1837.77,1806.01,1824.98,1816.3,8.68,0.4779,18830.86,3433296.756
170,300750.SZ,20230824,228.88,231.54,226.5,228.95,227.5,1.45,0.6374,141577.16,3254958.7
171,600519.SH,20230824,1779.62,1828.0,1775.0,1816.3,1774.0,42.3,2.3844,26055.09,4703417.6
172,300750.SZ,20230823,230.7,231.9,227.0,227.5,230.75,-3.25,-1.4085,118749.11,2721026.998
173,600519.SH,20230823,1797.0,1800.0,1770.08,1774.0,1788.0,-14.0,-0.783,19912.22,3556178.584
174,300750.SZ,20230822,234.8,235.18,227.51,230.75,232.96,-2.21,-0.9487,151889.41,3507619.5
175,600519.SH,20230822,1800.99,1802.56,1771.02,1788.0,1791.0,-3.0,-0.1675,26650.36,4763131.152
176,300750.SZ,20230821,233.99,235.87,232.2,232.96,235.87,-2.91,-1.2337,107804.39,2524111.214
177,600519.SH,20230821,1793.0,1813.99,1790.07,1791.0,1802.59,-11.59,-0.643,18911.81,3405415.645
178,300750.SZ,20230818,235.29,239.12,234.42,235.87,235.25,0.62,0.2635,167699.98,3977909.566
179,600519.SH,20230818,1831.99,1834.99,1802.59,1802.59,1828.05,-25.46,-1.3927,17023.34,3084761.577
